solving # 100 problems
device: cuda:0, devices: [0], on_gpu: True
State: 29, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,454,352, Time: 63.35
Times - pop: 0.52, expand: 22.16, check: 4.31, heur: 27.65, add: 12.10, itr: 66.75, num_itrs: 16
State: 30, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 67.03
Times - pop: 0.36, expand: 22.51, check: 3.22, heur: 20.90, add: 0.96, itr: 47.96, num_itrs: 13
State: 31, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 48.23
Times - pop: 0.35, expand: 24.01, check: 3.25, heur: 20.77, add: 0.97, itr: 49.35, num_itrs: 13
State: 32, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 49.57
Times - pop: 0.49, expand: 23.71, check: 4.28, heur: 27.70, add: 8.67, itr: 64.87, num_itrs: 16
State: 33, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 65.08
Times - pop: 1.35, expand: 40.92, check: 9.77, heur: 62.08, add: 12.62, itr: 126.75, num_itrs: 31
State: 34, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 3,254,352, Time: 127.07
Times - pop: 0.73, expand: 10.43, check: 5.74, heur: 36.78, add: 27.00, itr: 80.69, num_itrs: 20
State: 35, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,352, Time: 81.30
Times - pop: 0.42, expand: 41.26, check: 3.63, heur: 23.18, add: 1.09, itr: 69.59, num_itrs: 14
State: 36, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,214,352, Time: 69.94
Times - pop: 1.13, expand: 48.28, check: 8.21, heur: 52.92, add: 8.88, itr: 119.41, num_itrs: 27
State: 37, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 2,774,352, Time: 119.68
Times - pop: 2.07, expand: 33.76, check: 13.63, heur: 87.01, add: 38.80, itr: 175.28, num_itrs: 42
State: 38, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 4,574,352, Time: 175.87
Times - pop: 0.51, expand: 47.03, check: 4.26, heur: 27.71, add: 1.33, itr: 80.85, num_itrs: 16
State: 39, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 81.69
Times - pop: 0.41, expand: 43.99, check: 3.61, heur: 23.05, add: 1.09, itr: 72.15, num_itrs: 14
State: 40, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,214,352, Time: 72.43
Times - pop: 0.36, expand: 21.62, check: 3.21, heur: 20.89, add: 0.97, itr: 47.05, num_itrs: 13
State: 41, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 47.28
Times - pop: 0.31, expand: 21.07, check: 2.87, heur: 18.51, add: 0.86, itr: 43.61, num_itrs: 12
State: 42, SolnCost: 11.00, # Moves: 11, # Nodes Gen: 974,352, Time: 43.82
Times - pop: 0.61, expand: 21.76, check: 5.00, heur: 32.40, add: 13.92, itr: 73.69, num_itrs: 18
State: 43, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 73.89
Times - pop: 0.52, expand: 23.57, check: 4.29, heur: 27.72, add: 6.56, itr: 62.65, num_itrs: 16
State: 44, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 62.99
Times - pop: 0.62, expand: 28.12, check: 5.03, heur: 32.26, add: 6.44, itr: 72.46, num_itrs: 18
State: 45, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 72.75
Times - pop: 0.63, expand: 33.13, check: 5.18, heur: 32.32, add: 1.47, itr: 72.74, num_itrs: 18
State: 46, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 73.07
Times - pop: 0.86, expand: 42.80, check: 6.45, heur: 41.61, add: 1.89, itr: 93.60, num_itrs: 22
State: 47, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,352, Time: 93.94
Times - pop: 0.53, expand: 14.50, check: 4.30, heur: 27.66, add: 16.40, itr: 63.40, num_itrs: 16
State: 48, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 63.82
Times - pop: 0.55, expand: 37.75, check: 4.26, heur: 27.76, add: 1.36, itr: 71.67, num_itrs: 16
State: 49, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 71.95
Times - pop: 0.41, expand: 27.63, check: 3.59, heur: 23.11, add: 1.10, itr: 55.85, num_itrs: 14
State: 50, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,214,352, Time: 56.13
Times - pop: 0.51, expand: 20.77, check: 4.26, heur: 27.72, add: 12.71, itr: 65.97, num_itrs: 16
State: 51, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,454,352, Time: 66.22
Times - pop: 0.75, expand: 37.62, check: 5.72, heur: 36.87, add: 1.69, itr: 82.65, num_itrs: 20
State: 52, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,934,352, Time: 82.95
Times - pop: 0.62, expand: 22.52, check: 5.05, heur: 32.25, add: 7.90, itr: 68.34, num_itrs: 18
State: 53, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 68.71
Times - pop: 0.59, expand: 40.87, check: 4.65, heur: 30.20, add: 1.43, itr: 77.73, num_itrs: 17
State: 54, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,352, Time: 78.07
Times - pop: 0.56, expand: 27.78, check: 4.61, heur: 29.97, add: 1.40, itr: 64.33, num_itrs: 17
State: 55, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,574,352, Time: 64.64
Times - pop: 0.64, expand: 31.40, check: 5.05, heur: 32.39, add: 7.33, itr: 76.80, num_itrs: 18
State: 56, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 77.12
Times - pop: 0.65, expand: 21.05, check: 5.29, heur: 32.25, add: 20.31, itr: 79.55, num_itrs: 18
State: 57, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,694,352, Time: 79.88
Times - pop: 0.52, expand: 28.86, check: 4.33, heur: 27.77, add: 1.31, itr: 62.80, num_itrs: 16
State: 58, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 63.13
Times - pop: 0.47, expand: 30.67, check: 3.92, heur: 25.53, add: 1.22, itr: 61.80, num_itrs: 15
State: 59, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 62.08
Times - pop: 0.46, expand: 23.71, check: 3.95, heur: 25.37, add: 5.38, itr: 58.87, num_itrs: 15
State: 60, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 59.14
Times - pop: 0.45, expand: 27.46, check: 3.90, heur: 25.43, add: 1.18, itr: 58.42, num_itrs: 15
State: 61, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 58.68
Times - pop: 0.36, expand: 21.78, check: 3.30, heur: 20.91, add: 5.20, itr: 51.56, num_itrs: 13
State: 62, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 51.81
Times - pop: 1.36, expand: 44.59, check: 9.80, heur: 62.15, add: 11.44, itr: 129.35, num_itrs: 31
State: 63, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,254,352, Time: 129.62
